"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-02-02","15:46:02","Красноярск, стандартное время","Code 128","P8810705","","0","2023-02-02","08:46:02",""
"2023-02-02","15:46:10","Красноярск, стандартное время","Code 128","P8810288","","0","2023-02-02","08:46:10",""
"2023-02-02","15:46:15","Красноярск, стандартное время","Code 128","P8821168","","0","2023-02-02","08:46:15",""
"2023-02-02","15:46:21","Красноярск, стандартное время","Code 128","P8811702","","0","2023-02-02","08:46:21",""
"2023-02-02","15:46:24","Красноярск, стандартное время","Code 128","P8811960","","0","2023-02-02","08:46:24",""
"2023-02-02","15:46:27","Красноярск, стандартное время","Code 128","P8805524","","0","2023-02-02","08:46:27",""
"2023-02-02","15:46:32","Красноярск, стандартное время","Code 128","P8829148","","0","2023-02-02","08:46:32",""
"2023-02-02","15:46:35","Красноярск, стандартное время","Code 128","P8829110","","0","2023-02-02","08:46:35",""
"2023-02-02","15:46:38","Красноярск, стандартное время","Code 128","P8829124","","0","2023-02-02","08:46:38",""
"2023-02-02","15:46:41","Красноярск, стандартное время","Code 128","P8829125","","0","2023-02-02","08:46:41",""
"2023-02-02","15:46:45","Красноярск, стандартное время","Code 128","P8829112","","0","2023-02-02","08:46:45",""
"2023-02-02","15:46:48","Красноярск, стандартное время","Code 128","P8829122","","0","2023-02-02","08:46:48",""
"2023-02-02","15:46:51","Красноярск, стандартное время","Code 128","P8804494","","0","2023-02-02","08:46:51",""
"2023-02-02","15:46:55","Красноярск, стандартное время","Code 128","P8804529","","0","2023-02-02","08:46:55",""
"2023-02-02","15:46:58","Красноярск, стандартное время","Code 128","P8804530","","0","2023-02-02","08:46:58",""
"2023-02-02","15:47:00","Красноярск, стандартное время","Code 128","P8804531","","0","2023-02-02","08:47:00",""
"2023-02-02","15:47:02","Красноярск, стандартное время","Code 128","P8804524","","0","2023-02-02","08:47:02",""
"2023-02-02","15:47:05","Красноярск, стандартное время","Code 128","P8804532","","0","2023-02-02","08:47:05",""
"2023-02-02","15:47:08","Красноярск, стандартное время","Code 128","P8827243","","0","2023-02-02","08:47:08",""
"2023-02-02","15:47:12","Красноярск, стандартное время","Code 128","P8805498","","0","2023-02-02","08:47:12",""
"2023-02-02","15:47:15","Красноярск, стандартное время","Code 128","P8806258","","0","2023-02-02","08:47:15",""
"2023-02-02","15:47:19","Красноярск, стандартное время","Code 128","P8806246","","0","2023-02-02","08:47:19",""
"2023-02-02","15:47:22","Красноярск, стандартное время","Code 128","P8805569","","0","2023-02-02","08:47:22",""
"2023-02-02","15:47:28","Красноярск, стандартное время","Code 128","P8803610","","0","2023-02-02","08:47:28",""
"2023-02-02","15:47:32","Красноярск, стандартное время","Code 128","P8803609","","0","2023-02-02","08:47:32",""
"2023-02-02","15:47:36","Красноярск, стандартное время","Code 128","P8803611","","0","2023-02-02","08:47:36",""
"2023-02-02","15:47:42","Красноярск, стандартное время","Code 128","P8825752","","0","2023-02-02","08:47:42",""
"2023-02-02","15:47:44","Красноярск, стандартное время","Code 128","P8825843","","0","2023-02-02","08:47:44",""
"2023-02-02","15:47:49","Красноярск, стандартное время","Code 128","P8825889","","0","2023-02-02","08:47:49",""
"2023-02-02","15:47:52","Красноярск, стандартное время","Code 128","P8825825","","0","2023-02-02","08:47:52",""
"2023-02-02","15:48:02","Красноярск, стандартное время","Code 128","P8810076","","0","2023-02-02","08:48:02",""
"2023-02-02","15:48:11","Красноярск, стандартное время","Code 128","P8810077","","0","2023-02-02","08:48:11",""
"2023-02-02","15:48:15","Красноярск, стандартное время","Code 128","P8820637","","0","2023-02-02","08:48:15",""
"2023-02-02","15:48:49","Красноярск, стандартное время","Code 128","P8826240","","0","2023-02-02","08:48:49",""
"2023-02-02","15:48:51","Красноярск, стандартное время","Code 128","P8826239","","0","2023-02-02","08:48:51",""
"2023-02-02","15:48:54","Красноярск, стандартное время","Code 128","P8809309","","0","2023-02-02","08:48:54",""
"2023-02-02","15:48:56","Красноярск, стандартное время","Code 128","P8809305","","0","2023-02-02","08:48:56",""
"2023-02-02","15:48:59","Красноярск, стандартное время","Code 128","P8809314","","0","2023-02-02","08:48:59",""
"2023-02-02","15:49:03","Красноярск, стандартное время","Code 128","P8827052","","0","2023-02-02","08:49:03",""
"2023-02-02","15:49:05","Красноярск, стандартное время","Code 128","P8827053","","0","2023-02-02","08:49:05",""
"2023-02-02","15:49:22","Красноярск, стандартное время","Code 128","P8827041","","0","2023-02-02","08:49:22",""
"2023-02-02","15:49:30","Красноярск, стандартное время","Code 128","P8827051","","0","2023-02-02","08:49:30",""
"2023-02-02","15:49:35","Красноярск, стандартное время","Code 128","P8819705","","0","2023-02-02","08:49:35",""
"2023-02-02","15:49:38","Красноярск, стандартное время","Code 128","P8809150","","0","2023-02-02","08:49:38",""
"2023-02-02","15:49:43","Красноярск, стандартное время","Code 128","P8809324","","0","2023-02-02","08:49:43",""
"2023-02-02","15:49:49","Красноярск, стандартное время","Code 128","P8825700","","0","2023-02-02","08:49:49",""
"2023-02-02","15:49:52","Красноярск, стандартное время","Code 128","P8810866","","0","2023-02-02","08:49:52",""
"2023-02-02","15:49:59","Красноярск, стандартное время","Code 128","P8820639","","0","2023-02-02","08:49:59",""
"2023-02-02","15:50:26","Красноярск, стандартное время","Code 128","P8820638","","0","2023-02-02","08:50:26",""
"2023-02-02","15:50:43","Красноярск, стандартное время","Code 128","P8811580","","0","2023-02-02","08:50:43",""
"2023-02-02","15:50:49","Красноярск, стандартное время","Code 128","P8810353","","0","2023-02-02","08:50:49",""
"2023-02-02","15:50:53","Красноярск, стандартное время","Code 128","P8811767","","0","2023-02-02","08:50:53",""
"2023-02-02","15:51:00","Красноярск, стандартное время","Code 128","P8809691","","0","2023-02-02","08:51:00",""
"2023-02-02","15:51:17","Красноярск, стандартное время","Code 128","P8820483","","0","2023-02-02","08:51:17",""
"2023-02-02","15:51:20","Красноярск, стандартное время","Code 128","P8828048","","0","2023-02-02","08:51:20",""
"2023-02-02","15:51:23","Красноярск, стандартное время","Code 128","P8820977","","0","2023-02-02","08:51:23",""
"2023-02-02","15:51:25","Красноярск, стандартное время","Code 128","P8821082","","0","2023-02-02","08:51:25",""
"2023-02-02","15:51:28","Красноярск, стандартное время","Code 128","P8807750","","0","2023-02-02","08:51:28",""
"2023-02-02","15:51:32","Красноярск, стандартное время","Code 128","P8821890","","0","2023-02-02","08:51:32",""
"2023-02-02","15:51:35","Красноярск, стандартное время","Code 128","P8812056","","0","2023-02-02","08:51:35",""
"2023-02-02","15:51:37","Красноярск, стандартное время","Code 128","P8820543","","0","2023-02-02","08:51:37",""
"2023-02-02","15:51:40","Красноярск, стандартное время","Code 128","P8821513","","0","2023-02-02","08:51:40",""
"2023-02-02","15:51:42","Красноярск, стандартное время","Code 128","P8825998","","0","2023-02-02","08:51:42",""
"2023-02-02","15:51:56","Красноярск, стандартное время","Code 128","P8821291","","0","2023-02-02","08:51:56",""
"2023-02-02","15:52:00","Красноярск, стандартное время","Code 128","P8811768","","0","2023-02-02","08:52:00",""
"2023-02-02","15:52:02","Красноярск, стандартное время","Code 128","P8811496","","0","2023-02-02","08:52:02",""
"2023-02-02","15:52:09","Красноярск, стандартное время","Code 128","P8811495","","0","2023-02-02","08:52:09",""
"2023-02-02","15:52:12","Красноярск, стандартное время","Code 128","P8800554","","0","2023-02-02","08:52:12",""
"2023-02-02","15:52:16","Красноярск, стандартное время","Code 128","P8800551","","0","2023-02-02","08:52:16",""
"2023-02-02","15:52:18","Красноярск, стандартное время","Code 128","P8802949","","0","2023-02-02","08:52:18",""
"2023-02-02","15:52:21","Красноярск, стандартное время","Code 128","P8802945","","0","2023-02-02","08:52:21",""
"2023-02-02","15:52:25","Красноярск, стандартное время","Code 128","P8819893","","0","2023-02-02","08:52:25",""
"2023-02-02","15:52:28","Красноярск, стандартное время","Code 128","P8819098","","0","2023-02-02","08:52:28",""
"2023-02-02","15:52:31","Красноярск, стандартное время","Code 128","P8807838","","0","2023-02-02","08:52:31",""
"2023-02-02","15:52:34","Красноярск, стандартное время","Code 128","P8819763","","0","2023-02-02","08:52:34",""
"2023-02-02","15:52:38","Красноярск, стандартное время","Code 128","P8819762","","0","2023-02-02","08:52:38",""
"2023-02-02","15:52:40","Красноярск, стандартное время","Code 128","P8819107","","0","2023-02-02","08:52:40",""
"2023-02-02","15:52:43","Красноярск, стандартное время","Code 128","P8826838","","0","2023-02-02","08:52:43",""
"2023-02-02","15:52:46","Красноярск, стандартное время","Code 128","P8830422","","0","2023-02-02","08:52:46",""
"2023-02-02","15:52:50","Красноярск, стандартное время","Code 128","P8820194","","0","2023-02-02","08:52:50",""
"2023-02-02","15:52:53","Красноярск, стандартное время","Code 128","P8820203","","0","2023-02-02","08:52:53",""
"2023-02-02","15:53:47","Красноярск, стандартное время","Code 128","P8820189","","0","2023-02-02","08:53:47",""
"2023-02-02","15:53:51","Красноярск, стандартное время","Code 128","P8820204","","0","2023-02-02","08:53:51",""
"2023-02-02","15:53:57","Красноярск, стандартное время","Code 128","P8820202","","0","2023-02-02","08:53:57",""
"2023-02-02","15:54:00","Красноярск, стандартное время","Code 128","P8820201","","0","2023-02-02","08:54:00",""
"2023-02-02","15:54:02","Красноярск, стандартное время","Code 128","P8820192","","0","2023-02-02","08:54:02",""
"2023-02-02","15:54:10","Красноярск, стандартное время","Code 128","P8807580","","0","2023-02-02","08:54:10",""
"2023-02-02","15:54:13","Красноярск, стандартное время","Code 128","P8828566","","0","2023-02-02","08:54:13",""
"2023-02-02","15:54:15","Красноярск, стандартное время","Code 128","P8828564","","0","2023-02-02","08:54:15",""
"2023-02-02","15:54:17","Красноярск, стандартное время","Code 128","P8828099","","0","2023-02-02","08:54:17",""
"2023-02-02","15:54:22","Красноярск, стандартное время","Code 128","P8830238","","0","2023-02-02","08:54:22",""
"2023-02-02","15:54:23","Красноярск, стандартное время","Code 128","P8830235","","0","2023-02-02","08:54:23",""
"2023-02-02","15:54:25","Красноярск, стандартное время","Code 128","P8830233","","0","2023-02-02","08:54:25",""
"2023-02-02","15:54:28","Красноярск, стандартное время","Code 128","P8828565","","0","2023-02-02","08:54:28",""
"2023-02-02","15:54:33","Красноярск, стандартное время","Code 128","P8830234","","0","2023-02-02","08:54:33",""
"2023-02-02","15:54:36","Красноярск, стандартное время","Code 128","P8830236","","0","2023-02-02","08:54:36",""
"2023-02-02","15:54:39","Красноярск, стандартное время","Code 128","P8830237","","0","2023-02-02","08:54:39",""
"2023-02-02","15:54:41","Красноярск, стандартное время","Code 128","P8830232","","0","2023-02-02","08:54:41",""
"2023-02-02","15:54:47","Красноярск, стандартное время","Code 128","P8823694","","0","2023-02-02","08:54:47",""
"2023-02-02","15:54:53","Красноярск, стандартное время","Code 128","P8823724","","0","2023-02-02","08:54:53",""
"2023-02-02","15:55:14","Красноярск, стандартное время","Code 128","P8829219","","0","2023-02-02","08:55:14",""
"2023-02-02","15:55:16","Красноярск, стандартное время","Code 128","P8829218","","0","2023-02-02","08:55:16",""
"2023-02-02","15:55:18","Красноярск, стандартное время","Code 128","P8829214","","0","2023-02-02","08:55:18",""
"2023-02-02","15:55:21","Красноярск, стандартное время","Code 128","P8829216","","0","2023-02-02","08:55:21",""
"2023-02-02","15:55:23","Красноярск, стандартное время","Code 128","P8829213","","0","2023-02-02","08:55:23",""
"2023-02-02","15:55:25","Красноярск, стандартное время","Code 128","P8829217","","0","2023-02-02","08:55:25",""
"2023-02-02","15:55:28","Красноярск, стандартное время","Code 128","P8829215","","0","2023-02-02","08:55:28",""
"2023-02-02","15:55:39","Красноярск, стандартное время","Code 128","P8829212","","0","2023-02-02","08:55:39",""
"2023-02-02","15:55:41","Красноярск, стандартное время","Code 128","P8829211","","0","2023-02-02","08:55:41",""
"2023-02-02","15:55:44","Красноярск, стандартное время","Code 128","P8829209","","0","2023-02-02","08:55:44",""
"2023-02-02","15:55:52","Красноярск, стандартное время","Code 128","P8829210","","0","2023-02-02","08:55:52",""
"2023-02-02","15:55:56","Красноярск, стандартное время","Code 128","P8828376","","0","2023-02-02","08:55:56",""
"2023-02-02","15:56:01","Красноярск, стандартное время","Code 128","P8828371","","0","2023-02-02","08:56:01",""
"2023-02-02","15:56:06","Красноярск, стандартное время","Code 128","P8828123","","0","2023-02-02","08:56:06",""
"2023-02-02","15:56:10","Красноярск, стандартное время","Code 128","P8828375","","0","2023-02-02","08:56:10",""
"2023-02-02","15:56:17","Красноярск, стандартное время","Code 128","P8804984","","0","2023-02-02","08:56:17",""
"2023-02-02","15:56:20","Красноярск, стандартное время","Code 128","P8804979","","0","2023-02-02","08:56:20",""
"2023-02-02","15:56:23","Красноярск, стандартное время","Code 128","P8804931","","0","2023-02-02","08:56:23",""
"2023-02-02","15:56:26","Красноярск, стандартное время","Code 128","P8805031","","0","2023-02-02","08:56:26",""
